Специализация;EHP_SPECIALITY;Труба
Тип элемента;EHP_TYPE;Труба
Обозначение системы;EHP_SYSTEM_TAG;Труба
Номер участка трубопровода;EHP_SEGMENT_N;Труба
Диаметр условный (Dу);EHP_PIPE_DN;Труба
Наружный диаметр трубопровода;EHP_PIPE_DIAM;Труба
Толщина стенки трубы;EHP_PIPE_TH;Труба
Наименование;EHP_NAME;Труба
Обозначение;EHP_TAG;Труба
Нормативный документ;EHP_STANDARD;Труба
Класс материала;EHP_M_CLASS;Труба
Материал;EHP_MATERIAL;Труба
Нормативный документ на материал;EHP_M_STANDARD;Труба
Длина;EHP_LENGTH;Труба
Масса;EHP_WEIGHT;Труба
Специализация;EHP_SPECIALITY;Отвод
Тип элемента;EHP_TYPE;Отвод
Обозначение системы;EHP_SYSTEM_TAG;Отвод
Номер участка трубопровода;EHP_SEGMENT_N;Отвод
Диаметр условный (Dу);EHP_PIPE_DN;Отвод
Наружный диаметр трубопровода;EHP_PIPE_DIAM;Отвод
Толщина стенки трубы;EHP_PIPE_TH;Отвод
Угол изгиба отвода;EHP_PIPE_E_ANGLE;Отвод
Радиус гиба;EHP_RADIUS_BEND;Отвод
Наименование;EHP_NAME;Отвод
Обозначение;EHP_TAG;Отвод
Нормативный документ;EHP_STANDARD;Отвод
Класс материала;EHP_M_CLASS;Отвод
Материал;EHP_MATERIAL;Отвод
Нормативный документ на материал;EHP_M_STANDARD;Отвод
Масса;EHP_WEIGHT;Отвод
Специализация;EHP_SPECIALITY;Тройник
Тип элемента;EHP_TYPE;Тройник
Обозначение системы;EHP_SYSTEM_TAG;Тройник
Номер участка трубопровода;EHP_SEGMENT_N;Тройник
Диаметр условный (Dу);EHP_PIPE_DN;Тройник
Диаметр условный 2 (Dу);EHP_PIPE_DN2;Тройник
Наружный диаметр трубопровода;EHP_PIPE_DIAM;Тройник
Наружный диаметр трубопровода 2;EHP_PIPE_DIAM2;Тройник
Толщина стенки трубы;EHP_PIPE_TH;Тройник
Толщина стенки трубы 2;EHP_PIPE_TH2;Тройник
Наименование;EHP_NAME;Тройник
Обозначение;EHP_TAG;Тройник
Нормативный документ;EHP_STANDARD;Тройник
Класс материала;EHP_M_CLASS;Тройник
Материал;EHP_MATERIAL;Тройник
Нормативный документ на материал;EHP_M_STANDARD;Тройник
Масса;EHP_WEIGHT;Тройник
Специализация;EHP_SPECIALITY;Переход
Тип элемента;EHP_TYPE;Переход
Обозначение системы;EHP_SYSTEM_TAG;Переход
Номер участка трубопровода;EHP_SEGMENT_N;Переход
Диаметр условный (Dу);EHP_PIPE_DN;Переход
Диаметр условный 2 (Dу);EHP_PIPE_DN2;Переход
Наружный диаметр трубопровода;EHP_PIPE_DIAM;Переход
Наружный диаметр трубопровода 2;EHP_PIPE_DIAM2;Переход
Толщина стенки трубы;EHP_PIPE_TH;Переход
Толщина стенки трубы 2;EHP_PIPE_TH2;Переход
Наименование;EHP_NAME;Переход
Обозначение;EHP_TAG;Переход
Нормативный документ;EHP_STANDARD;Переход
Класс материала;EHP_M_CLASS;Переход
Материал;EHP_MATERIAL;Переход
Нормативный документ на материал;EHP_M_STANDARD;Переход
Масса;EHP_WEIGHT;Переход
Специализация;EHP_SPECIALITY;Заглушка
Тип элемента;EHP_TYPE;Заглушка
Обозначение системы;EHP_SYSTEM_TAG;Заглушка
Номер участка трубопровода;EHP_SEGMENT_N;Заглушка
Диаметр условный (Dу);EHP_PIPE_DN;Заглушка
Наружный диаметр трубопровода;EHP_PIPE_DIAM;Заглушка
Наименование;EHP_NAME;Заглушка
Обозначение;EHP_TAG;Заглушка
Нормативный документ;EHP_STANDARD;Заглушка
Класс материала;EHP_M_CLASS;Заглушка
Материал;EHP_MATERIAL;Заглушка
Нормативный документ на материал;EHP_M_STANDARD;Заглушка
Масса;EHP_WEIGHT;Заглушка
Специализация;EHP_SPECIALITY;Фланец
Тип элемента;EHP_TYPE;Фланец
Обозначение системы;EHP_SYSTEM_TAG;Фланец
Номер участка трубопровода;EHP_SEGMENT_N;Фланец
Наименование;EHP_NAME;Фланец
Обозначение;EHP_TAG;Фланец
Нормативный документ;EHP_STANDARD;Фланец
Класс материала;EHP_M_CLASS;Фланец
Материал;EHP_MATERIAL;Фланец
Масса;EHP_WEIGHT;Фланец
Давление условное (PN);EHP_PN;Фланец
Диаметр условный (Dу);EHP_PIPE_DN;Фланец
Наружный диаметр трубопровода;EHP_PIPE_DIAM;Фланец
Длина;EHP_LENGTH;Фланец
Диаметр;EHP_DIAM;Фланец
Толщина;EHP_THICKNESS;Фланец
Специализация;EHP_SPECIALITY;Запорная_арматура
Тип элемента;EHP_TYPE;Запорная_арматура
Обозначение системы;EHP_SYSTEM_TAG;Запорная_арматура
